"Item.Number","Item.Description"
27410,"Jim Beam Honey"
12668,"Canadian Woods Canadian Why"
41698,"Uv Ivory (vanilla) Vodka"
89191,"Jose Cuervo Especial Reposado Tequila Mini"
24158,"Hawkeye Blend Whiskey"
69636,"Dr. Mcgillicuddy's Cherry Schnapps"
781,"Jameson w/Shot Glass"
34423,"Grey Goose Vodka"
41019,"360 Double Chocolate Vodka"
82837,"Dekuyper Raspberry Pucker"
22156,"Wild Turkey 101"
73702,"Evan Williams Honey"
10552,"Black Velvet Cinnamon Rush Mini"
64774,"Cointreau Liqueur"
27782,"Jim Beam Apple"
32236,"Seagrams Extra Dry Gin"
42437,"Shellback Silver"
37934,"Skol Vodka"
80578,"Arrow Peppermint Schnapps"
82827,"Dekuyper Rootbeer"
35944,"Fleischmann's Royal Vodka"
56196,"Paul Masson Peach Grande Amber Brandy"
47786,"Courvoisier Vs Cognac"
89154,"Don Julio Reposado"
19063,"Jim Beam"
86886,"Southern Comfort"
45275,"Paramount White Rum Traveler"
82846,"Dekuyper Luscious Peachtree Schnapps"
34876,"Stoli Strasberri Vodka"
42166,"Myers's Rum Original Dark"
57158,"Chi-Chi's Strawberry Margarita W/tequila"
11773,"Black Velvet"
37936,"Skol Vodka"
40465,"Skyy Infusions Wild Strawberry"
77760,"Viniq Ruby"
11788,"Black Velvet"
21598,"Ten High"
69638,"Dr. Mcgillicuddy's Cherry Schnapps"
15658,"Jameson Caskmates"
37348,"Phillips Vodka"
84143,"99 Cinnamon Mini"
59037,"Desert Island Long Island Ice Tea Cocktail"
87936,"Juarez Tequila Silver"
89836,"Hornitos Gold"
17956,"Evan Williams Str Bourbon"
29994,"Five O'clock Gin"
58876,"Jose Cuervo Golden Margarita"
26826,"Jack Daniels Old #7 Black Lbl"
4798,"Cutty Sark Scotch"
58801,"Captain Morgan Long Island Iced Tea"
89496,"Margaritaville Gold Tequila"
32233,"Seagrams Extra Dry Gin"
27544,"Red Stag By Jim Beam"
41704,"Uv Red (cherry) Vodka"
48105,"Hennessy VS"
5289,"J & B Rare Scotch"
26821,"Jack Daniels Old #7 Black Lbl Mini"
41601,"Uv Blue (raspberry) Vodka"
37414,"Popov Vodka 80 Prf"
82611,"Dekuyper Hot Damn!"
8828,"Lauder's"
470,"Jack Daniels w/Glass"
28627,"Hendrick's Gin"
5345,"Johnnie Walker Red"
15296,"Windsor Canadian Traveler"
10628,"Canadian Club Whisky"
37938,"Skol Vodka"
66213,"Piehole Pecan Pie"
89194,"Jose Cuervo Especial Reposado Flask"
41694,"Uv Blue (raspberry) Vodka"
17830,"Early Times 36 Mo Ky Str Bourbon Pet"
41692,"Uv Blue (raspberry) Vodka"
34747,"Stolichnaya Premium Vodka 80 Proof (lv)"
11290,"Crown Royal Canadian Whisky Mini"
42244,"Blue Chair Bay Coconut Spiced"
5346,"Johnnie Walker Red"
77903,"Smirnoff Peppermint Twist"
41604,"Uv Grape Vodka"
57157,"Chi-Chi's Pina Colada W/rum"
18408,"G & W Bourbon"
34871,"Stolichnaya Razberi Vodka 75 Proof"
43050,"Bacardi Dragon Berry"
55084,"Paramount Blackberry Brandy"
69611,"Dr. Mcgillicuddy's Apple Pie Schnapps"
34036,"Absolut Pears"
22216,"Woodford Reserve Bourbon"
48106,"Hennessy Vs Cognac"
34004,"Absolut Swedish Vodka 80 Prf"
19476,"Maker's Mark"
68127,"Carolan's Irish Cream Liqueur"
42370,"Bacardi 8 Rum"
68034,"Bailey's Original Irish Cream"
81406,"Thunder 101 Peppermint Schnapps"
66295,"Remy Martin V"
82867,"Dekuyper Watermelon Pucker"
77847,"Smirnoff Vanilla"
36305,"Hawkeye Vodka"
89626,"Patron Reposado Tequila"
86751,"Ole Smoky Hunch Punch Lightnin'"
43316,"Captain Morgan Private Stock Rum"
43360,"Captain Morgan Cannon Blast Mini"
49084,"Remy Martin 1738 Accord Royal"
56195,"Paul Masson Peach Grande Amber Brandy"
36307,"Hawkeye Vodka"
5036,"Glenlivet 12 Yr Malt Scotch"
24466,"Kessler Blend Whiskey Traveler"
89177,"Casamigos Reposado"
